Function,Label,Chunk label,Chunk size,Offset label,Offset size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,0 B,0,196.501498,151.671730,194.758449
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,1 B,1,96.008501,82.587102,95.913004
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,2 B,2,96.007288,83.170737,95.896605
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,15 B,15,96.007998,81.677258,95.871965
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,16 B,16,96.008070,78.118755,95.867923
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,17 B,17,96.008376,83.912662,95.882249
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,31 B,31,96.007297,83.471337,95.894048
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,32 B,32,196.541552,148.023779,194.874957
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,33 B,33,96.016045,83.224915,95.861235
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,47 B,47,96.015659,84.192454,95.849145
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,48 B,48,96.015739,81.687068,95.863883
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,49 B,49,96.015796,83.378303,95.867084
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,63 B,63,96.015085,83.321299,95.873856
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,64 B,64,196.537366,153.355331,194.745015
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,65 B,65,96.008959,83.906084,95.898999
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,0 B,0,81.604096,68.267180,79.469839
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,1 B,1,69.050236,60.960442,68.146588
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,2 B,2,68.896536,60.623980,68.160235
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,15 B,15,68.773371,60.601264,68.149797
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,16 B,16,69.083419,59.834603,68.151853
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,17 B,17,68.824108,60.296737,68.155133
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,31 B,31,68.872875,61.132095,68.152298
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,32 B,32,81.653590,68.732570,79.239166
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,33 B,33,68.890608,60.684954,68.149282
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,47 B,47,68.858503,61.117157,68.257074
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,48 B,48,68.940586,60.119255,68.137262
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,49 B,49,68.866577,60.389609,68.160682
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,63 B,63,68.822402,61.119409,68.223641
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,64 B,64,81.869554,69.052148,79.662326
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,65 B,65,68.807382,60.129723,68.182678
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,0 B,0,39.584124,37.096302,39.487871
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,1 B,1,38.588716,36.240782,38.507202
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,2 B,2,38.588071,36.104620,38.510737
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,15 B,15,38.587204,36.255427,38.516758
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,16 B,16,38.588869,36.156278,38.507098
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,17 B,17,38.586844,36.152610,38.502514
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,31 B,31,38.589367,36.241484,38.524196
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,32 B,32,39.582640,36.791952,39.483219
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,33 B,33,38.704841,35.867858,38.626432
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,47 B,47,38.704545,36.289243,38.627842
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,48 B,48,38.704527,36.324831,38.631961
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,49 B,49,38.709113,36.445476,38.636642
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,63 B,63,38.708068,35.900008,38.614777
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,64 B,64,39.586547,37.120476,39.503230
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,65 B,65,38.607672,36.192743,38.537179
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,0 B,0,14.480198,7.559295,14.377501
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,1 B,1,14.602251,14.012100,14.543837
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,2 B,2,14.599529,14.100434,14.547790
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,15 B,15,14.601771,14.009351,14.546970
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,16 B,16,14.601751,13.807949,14.525281
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,17 B,17,14.603635,14.104670,14.549819
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,31 B,31,14.607024,14.137179,14.552320
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,32 B,32,14.480426,13.983623,14.422317
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,33 B,33,14.637462,14.105735,14.574470
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,47 B,47,14.641043,13.871668,14.578767
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,48 B,48,14.625156,14.179274,14.569043
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,49 B,49,14.632706,14.131303,14.582441
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,63 B,63,14.639360,14.094676,14.576458
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,64 B,64,14.475402,13.853473,14.418156
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,65 B,65,14.610967,14.102993,14.562941
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,0 B,0,196.493813,147.727964,194.975097
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,1 B,1,95.998178,83.364314,95.898845
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,2 B,2,95.997801,84.483078,95.894404
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,15 B,15,95.997964,83.331239,95.897984
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,16 B,16,95.998799,83.335908,95.901399
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,17 B,17,95.998116,82.868530,95.895614
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,31 B,31,95.997539,84.216644,95.913120
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,32 B,32,196.494647,145.837447,194.887601
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,33 B,33,96.005245,83.211348,95.861292
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,47 B,47,96.005751,83.530849,95.867345
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,48 B,48,96.005067,82.463332,95.880357
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,49 B,49,96.006336,83.696338,95.867772
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,63 B,63,96.008114,83.500357,95.875114
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,64 B,64,196.494834,150.841034,195.045637
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,65 B,65,95.999959,84.214160,95.918497
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,0 B,0,83.031057,69.778806,80.216437
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,1 B,1,68.923629,61.288708,68.266410
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,2 B,2,68.935296,61.028944,68.299111
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,15 B,15,68.856657,59.856426,68.267983
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,16 B,16,68.919884,60.567017,68.277886
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,17 B,17,69.023508,61.062837,68.306787
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,31 B,31,69.063733,61.060974,68.344208
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,32 B,32,82.403039,25.807658,79.561374
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,33 B,33,68.847847,27.797867,67.861837
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,47 B,47,68.977058,60.931302,68.318248
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,48 B,48,69.116871,61.395780,68.353875
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,49 B,49,69.075742,60.395265,68.398159
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,63 B,63,69.062658,60.939850,68.420142
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,64 B,64,82.734975,68.991362,80.163256
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,65 B,65,68.955549,61.722958,68.231977
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,0 B,0,39.590359,36.874062,39.490478
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,1 B,1,38.596559,36.073504,38.516175
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,2 B,2,38.594079,36.232385,38.527426
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,15 B,15,38.595603,35.928111,38.528044
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,16 B,16,38.594962,36.372625,38.515646
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,17 B,17,38.596405,36.359137,38.536072
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,31 B,31,38.593758,36.238250,38.523242
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,32 B,32,39.590766,37.072967,39.494811
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,33 B,33,38.715089,36.205578,38.636512
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,47 B,47,38.712317,37.363170,38.641990
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,48 B,48,38.715005,36.410448,38.651047
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,49 B,49,38.713526,36.342163,38.638855
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,63 B,63,38.712394,36.270742,38.637145
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,64 B,64,39.591370,37.175821,39.515781
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,65 B,65,38.610880,36.261405,38.537810
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,0 B,0,14.498880,7.463068,14.413812
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,1 B,1,14.620914,14.140697,14.557127
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,2 B,2,14.617924,14.048571,14.554365
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,15 B,15,14.612139,13.937852,14.555265
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,16 B,16,14.614990,14.029710,14.545838
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,17 B,17,14.614251,14.119675,14.567675
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,31 B,31,14.613291,14.081372,14.553266
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,32 B,32,14.489237,13.996116,14.432214
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,33 B,33,14.642431,14.124480,14.592358
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,47 B,47,14.644297,14.163534,14.593582
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,48 B,48,14.648064,14.219984,14.603341
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,49 B,49,14.645871,14.112238,14.584279
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,63 B,63,14.645618,14.151700,14.587076
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,64 B,64,14.491427,13.934111,14.427211
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,65 B,65,14.621589,14.035988,14.562490
